DISEASE_NAME,CAUSE,CURE,MEDICINE,WHY
Strawberry___Leaf_scorch,Fungus (Diplocarpon earlianum),"Apply fungicides preventively, prune infected leaves, and practice good field sanitation.",Mancozeb,Mancozeb is effective against leaf scorch and other fungal diseases. It works by preventing fungal spores from germinating on plant surfaces.
Strawberry___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none
Tomato___Bacterial_spot,Bacterium (Xanthomonas campestris pv. vesicatoria),"There is no known cure for bacterial spot in tomatoes. Once plants are infected, it's challenging to eradicate the bacteria completely",copper oxychloride,"Regularly apply copper-based fungicides to tomato plants, especially during periods of high humidity or rainfall, to prevent bacterial spot infections."
Tomato___Early_blight,Fungus (Alternaria solani),"Apply fungicides preventively, practice crop rotation, and remove infected plant debris.",Mancozeb,"Mancozeb is a protective fungicide that can be used preventively to control early blight. It forms a protective barrier on plant surfaces, inhibiting fungal growth."
Tomato___Late_blight,Fungus (Phytophthora infestans),"Apply fungicides preventively, practice crop rotation, and remove infected plant debris.",copper hydroxide,Copper-based fungicides are commonly used in organic farming to control late blight. These fungicides can help suppress the spread of the disease when applied preventively.
Tomato___Leaf_Mold,Fungus (Fulvia fulva),"Apply fungicides preventively, prune infected leaves, and maintain good air circulation.",Chlorothalonil,"This broad-spectrum fungicide is effective against a wide range of fungal diseases, including Tomato Leaf Mold. It works by inhibiting fungal growth and preventing spore germination."
Tomato___Septoria_leaf_spot,Fungus (Septoria lycopersici),"Eliminate initial source of infection by removing infected plant debris and weeds, and use disease-free seeds.",mancozeb,Fungicides are very effective for control of Septoria leaf spot and applications are often necessary to supplement the control strategies previously outlined
Tomato___Spider_mites Two-spotted_spider_mite,Pests (Tetranychus urticae),"Apply insecticidal soap or neem oil, use predatory mites, and maintain good plant hygiene.",Neem oil,
Tomato___Target_Spot',Fungus (Corynespora cassiicola),"Apply fungicides preventively, prune infected leaves, and practice crop rotation.","no specific ""medicine"" ","Fungicides containing active ingredients such as chlorothalonil, azoxystrobin, or mancozeb can help control Target Spot when applied preventatively or at the first sign of symptoms"
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Virus (Tomato yellow leaf curl virus),"Control whitefly populations, plant resistant tomato varieties, and remove infected plants.",no specific medication or cure,no information
Tomato___Tomato_mosaic_virus,Virus (Tomato mosaic virus),"Remove infected plants, control aphid populations, and practice good plant hygiene.",no specific medication or cure,"(prevent spreading)Remove infected plants, control aphid populations,"
Tomato___healthy,No specific disease present.,Maintain proper care and management practices to prevent diseases.,none required,none
